Source,Categories,Confidence,Excerpt,Stance,Tone,Date
main_page,Reward Gaming,75.0%,"Reject
Accept all
Effective Altruism Forum
Topics
Login
Sign up
Home
Best of the Forum
All posts
Topics
People directory
Take action
Events
Groups directory
How to use the Forum
Forum events calendar
...",concerning,analytical,2025-10-10T03:49:19.711627
main_page,Unauthorized Access,75.0%,"Reject
Accept all
Effective Altruism Forum
Topics
Login
Sign up
Home
Best of the Forum
All posts
Topics
People directory
Take action
Events
Groups directory
How to use the Forum
Forum events calendar
...",concerning,analytical,2025-10-10T03:49:19.711627
main_page,Deceptive Behaviour,75.0%,"Reject
Accept all
Effective Altruism Forum
Topics
Login
Sign up
Home
Best of the Forum
All posts
Topics
People directory
Take action
Events
Groups directory
How to use the Forum
Forum events calendar
...",concerning,analytical,2025-10-10T03:49:19.711627
main_page,Sycophancy,75.0%,"Reject
Accept all
Effective Altruism Forum
Topics
Login
Sign up
Home
Best of the Forum
All posts
Topics
People directory
Take action
Events
Groups directory
How to use the Forum
Forum events calendar
...",concerning,analytical,2025-10-10T03:49:19.711627
article-depth-1,Unauthorized Access,75.0%,"We also use other forms of technology (such as pixels and web beacons and, in apps, software development kits (usually referred to as SDKs)) which serve a similar purpose to cookies and which allow us...",concerning,analytical,2025-10-10T03:49:39.164902
article-depth-1,Deceptive Behaviour,75.0%,"We also use other forms of technology (such as pixels and web beacons and, in apps, software development kits (usually referred to as SDKs)) which serve a similar purpose to cookies and which allow us...",concerning,analytical,2025-10-10T03:49:39.164902
article-depth-1,Deceptive Behaviour,75.0%,"(Read more)

POSTS TAGGED OPPORTUNITIES TO TAKE ACTION
New & upvoted
Relevance
11
We’re scaling our job board to help people find impactful roles
Probably Good
Probably Good
· 
10h ago
 · 1m read
0
2
...",concerning,analytical,2025-10-10T03:49:45.630580
article-depth-1,Sycophancy,75.0%,"(Read more)

POSTS TAGGED OPPORTUNITIES TO TAKE ACTION
New & upvoted
Relevance
11
We’re scaling our job board to help people find impactful roles
Probably Good
Probably Good
· 
10h ago
 · 1m read
0
2
...",concerning,analytical,2025-10-10T03:49:45.630580
article-depth-1,Goal Misgeneralization,75.0%,"Risks from artificial intelligence (AI)
7",concerning,analytical,2025-10-10T03:49:45.634577
article-depth-1,Deceptive Behaviour,75.0%,"Risks from artificial intelligence (AI)
7",concerning,analytical,2025-10-10T03:49:45.634577
article-depth-1,Sycophancy,75.0%,"Risks from artificial intelligence (AI)
7",concerning,analytical,2025-10-10T03:49:45.634577
article-depth-1,Deceptive Behaviour,75.0%,"What can I listen to now?
What about AI narrations? I want to listen to everything!
Who is working on this?
What about the existing “EA Forum Podcast”?
Thoughts, feedback, suggestions?
33 comments

We...",concerning,analytical,2025-10-10T03:49:43.617948
article-depth-1,Sycophancy,75.0%,"What can I listen to now?
What about AI narrations? I want to listen to everything!
Who is working on this?
What about the existing “EA Forum Podcast”?
Thoughts, feedback, suggestions?
33 comments

We...",concerning,analytical,2025-10-10T03:49:43.617948
article-depth-1,Reward Gaming,75.0%,"Effective Altruism Forum
Login
Sign up
Home
Best of the Forum
All posts
Topics
People directory
Take action
Events
Groups directory
How to use the Forum
Forum events calendar
EA Handbook
EA Forum Podc...",concerning,analytical,2025-10-10T03:49:47.265395
article-depth-1,Unauthorized Access,75.0%,"Effective Altruism Forum
Login
Sign up
Home
Best of the Forum
All posts
Topics
People directory
Take action
Events
Groups directory
How to use the Forum
Forum events calendar
EA Handbook
EA Forum Podc...",concerning,analytical,2025-10-10T03:49:47.265395
article-depth-1,Goal Misgeneralization,75.0%,"Effective Altruism Forum
Login
Sign up
Home
Best of the Forum
All posts
Topics
People directory
Take action
Events
Groups directory
How to use the Forum
Forum events calendar
EA Handbook
EA Forum Podc...",concerning,analytical,2025-10-10T03:49:47.265395
article-depth-1,Deceptive Behaviour,75.0%,"Effective Altruism Forum
Login
Sign up
Home
Best of the Forum
All posts
Topics
People directory
Take action
Events
Groups directory
How to use the Forum
Forum events calendar
EA Handbook
EA Forum Podc...",concerning,analytical,2025-10-10T03:49:47.265395
article-depth-1,Sycophancy,75.0%,"Effective Altruism Forum
Login
Sign up
Home
Best of the Forum
All posts
Topics
People directory
Take action
Events
Groups directory
How to use the Forum
Forum events calendar
EA Handbook
EA Forum Podc...",concerning,analytical,2025-10-10T03:49:47.265395
article-depth-1,Unauthorized Access,75.0%,"Therefore, as of December 1, 2022, we are requiring that all content posted to the Forum be available under a CC BY 4",concerning,analytical,2025-10-10T03:49:46.988200
article-depth-1,Goal Misgeneralization,75.0%,"Therefore, as of December 1, 2022, we are requiring that all content posted to the Forum be available under a CC BY 4",concerning,analytical,2025-10-10T03:49:46.988200
article-depth-1,Deceptive Behaviour,75.0%,"Therefore, as of December 1, 2022, we are requiring that all content posted to the Forum be available under a CC BY 4",concerning,analytical,2025-10-10T03:49:46.988200
article-depth-1,Sycophancy,75.0%,"Therefore, as of December 1, 2022, we are requiring that all content posted to the Forum be available under a CC BY 4",concerning,analytical,2025-10-10T03:49:46.988200
article-depth-1,Reward Gaming,75.0%,"Effective Altruism Forum
Login
Sign up
Interview with a drone expert on the future of AI warfare
by NunoSempere, rai
Oct 9
5 min read
 0
13
AI safety
Existential riskForecastingArmed conflictGreat pow...",concerning,analytical,2025-10-10T03:49:40.222849
article-depth-1,Unauthorized Access,75.0%,"Effective Altruism Forum
Login
Sign up
Interview with a drone expert on the future of AI warfare
by NunoSempere, rai
Oct 9
5 min read
 0
13
AI safety
Existential riskForecastingArmed conflictGreat pow...",concerning,analytical,2025-10-10T03:49:40.222849
article-depth-1,Reward Gaming,75.0%,"Sentinel Global Risks Watch
Subscribe
Sign in
Playback speed
1×
Share post
Share post at current time
Share from 0:00
0:00
/
0:00
3
2
How AI Will Transform Military Command and Control - Paul Scharre
...",concerning,analytical,2025-10-10T03:49:45.215680
article-depth-1,Unauthorized Access,75.0%,"Sentinel Global Risks Watch
Subscribe
Sign in
Playback speed
1×
Share post
Share post at current time
Share from 0:00
0:00
/
0:00
3
2
How AI Will Transform Military Command and Control - Paul Scharre
...",concerning,analytical,2025-10-10T03:49:45.215680
article-depth-1,Goal Misgeneralization,75.0%,"Sentinel Global Risks Watch
Subscribe
Sign in
Playback speed
1×
Share post
Share post at current time
Share from 0:00
0:00
/
0:00
3
2
How AI Will Transform Military Command and Control - Paul Scharre
...",concerning,analytical,2025-10-10T03:49:45.215680
article-depth-1,Deceptive Behaviour,75.0%,"Sentinel Global Risks Watch
Subscribe
Sign in
Playback speed
1×
Share post
Share post at current time
Share from 0:00
0:00
/
0:00
3
2
How AI Will Transform Military Command and Control - Paul Scharre
...",concerning,analytical,2025-10-10T03:49:45.215680
article-depth-1,Sycophancy,75.0%,"Sentinel Global Risks Watch
Subscribe
Sign in
Playback speed
1×
Share post
Share post at current time
Share from 0:00
0:00
/
0:00
3
2
How AI Will Transform Military Command and Control - Paul Scharre
...",concerning,analytical,2025-10-10T03:49:45.215680
article-depth-1,Reward Gaming,75.0%,"I like to spend my time acquiring deeper models of the world, and generally becoming more formidable",concerning,analytical,2025-10-10T03:50:00.475670
article-depth-1,Goal Misgeneralization,75.0%,"I like to spend my time acquiring deeper models of the world, and generally becoming more formidable",concerning,analytical,2025-10-10T03:50:00.475670
article-depth-1,Deceptive Behaviour,75.0%,"I like to spend my time acquiring deeper models of the world, and generally becoming more formidable",concerning,analytical,2025-10-10T03:50:00.475670
article-depth-1,Sycophancy,75.0%,"I like to spend my time acquiring deeper models of the world, and generally becoming more formidable",concerning,analytical,2025-10-10T03:50:00.475670
article-depth-1,Reward Gaming,75.0%,"Effective Altruism Forum
Login
Sign up
AGI × Animals Wargame
by Sentient Futures (formerly AI for Animals), Constance Li
Oct 8
7 min read
 1
52
AI safety
Animal welfare
Building effective altruismAI g...",concerning,analytical,2025-10-10T03:49:54.546392
article-depth-1,Unauthorized Access,75.0%,"Effective Altruism Forum
Login
Sign up
AGI × Animals Wargame
by Sentient Futures (formerly AI for Animals), Constance Li
Oct 8
7 min read
 1
52
AI safety
Animal welfare
Building effective altruismAI g...",concerning,analytical,2025-10-10T03:49:54.546392
article-depth-1,Goal Misgeneralization,75.0%,"Effective Altruism Forum
Login
Sign up
AGI × Animals Wargame
by Sentient Futures (formerly AI for Animals), Constance Li
Oct 8
7 min read
 1
52
AI safety
Animal welfare
Building effective altruismAI g...",concerning,analytical,2025-10-10T03:49:54.546392
article-depth-1,Deceptive Behaviour,75.0%,"Effective Altruism Forum
Login
Sign up
AGI × Animals Wargame
by Sentient Futures (formerly AI for Animals), Constance Li
Oct 8
7 min read
 1
52
AI safety
Animal welfare
Building effective altruismAI g...",concerning,analytical,2025-10-10T03:49:54.546392
article-depth-1,Sycophancy,75.0%,"Effective Altruism Forum
Login
Sign up
AGI × Animals Wargame
by Sentient Futures (formerly AI for Animals), Constance Li
Oct 8
7 min read
 1
52
AI safety
Animal welfare
Building effective altruismAI g...",concerning,analytical,2025-10-10T03:49:54.546392
article-depth-1,Reward Gaming,75.0%,"ai
Message
Get notified
Interests:
AI x Animals
Artificial sentience
Animal welfare
Bio
Participation
3

I start caring about animal welfare at the age of 12",concerning,analytical,2025-10-10T03:50:00.345955
article-depth-1,Unauthorized Access,75.0%,"ai
Message
Get notified
Interests:
AI x Animals
Artificial sentience
Animal welfare
Bio
Participation
3

I start caring about animal welfare at the age of 12",concerning,analytical,2025-10-10T03:50:00.345955
article-depth-1,Goal Misgeneralization,75.0%,"ai
Message
Get notified
Interests:
AI x Animals
Artificial sentience
Animal welfare
Bio
Participation
3

I start caring about animal welfare at the age of 12",concerning,analytical,2025-10-10T03:50:00.345955
article-depth-1,Deceptive Behaviour,75.0%,"ai
Message
Get notified
Interests:
AI x Animals
Artificial sentience
Animal welfare
Bio
Participation
3

I start caring about animal welfare at the age of 12",concerning,analytical,2025-10-10T03:50:00.345955
article-depth-1,Sycophancy,75.0%,"ai
Message
Get notified
Interests:
AI x Animals
Artificial sentience
Animal welfare
Bio
Participation
3

I start caring about animal welfare at the age of 12",concerning,analytical,2025-10-10T03:50:00.345955
article-depth-1,Sycophancy,75.0%,"Effective Altruism Forum
Login
Sign up
How well can large language models predict the future?
by Forecasting Research Institute
Oct 8
1 min read
 1
31
AI safetyForecastingAI evaluations and standardsA...",concerning,analytical,2025-10-10T03:49:54.330419
article-depth-1,Reward Gaming,75.0%,"Already have an account? Sign in
How well can large language models predict the future?
We’ve just released an updated version of ForecastBench, our LLM forecasting benchmark",concerning,analytical,2025-10-10T03:49:59.160025
article-depth-1,Unauthorized Access,75.0%,"Already have an account? Sign in
How well can large language models predict the future?
We’ve just released an updated version of ForecastBench, our LLM forecasting benchmark",concerning,analytical,2025-10-10T03:49:59.160025
article-depth-1,Sycophancy,75.0%,"Already have an account? Sign in
How well can large language models predict the future?
We’ve just released an updated version of ForecastBench, our LLM forecasting benchmark",concerning,analytical,2025-10-10T03:49:59.160025
article-depth-1,Reward Gaming,75.0%,"Effective Altruism Forum
Login
Sign up
Why I think building EA is important for making AI go well
by Arden Koehler
Sep 25
5 min read
 12
202
AI safety
Building effective altruism
Existential riskMeta ...",concerning,analytical,2025-10-10T03:49:59.548162
article-depth-1,Unauthorized Access,75.0%,"Effective Altruism Forum
Login
Sign up
Why I think building EA is important for making AI go well
by Arden Koehler
Sep 25
5 min read
 12
202
AI safety
Building effective altruism
Existential riskMeta ...",concerning,analytical,2025-10-10T03:49:59.548162
article-depth-1,Goal Misgeneralization,75.0%,"Effective Altruism Forum
Login
Sign up
Why I think building EA is important for making AI go well
by Arden Koehler
Sep 25
5 min read
 12
202
AI safety
Building effective altruism
Existential riskMeta ...",concerning,analytical,2025-10-10T03:49:59.548162
article-depth-1,Deceptive Behaviour,75.0%,"Effective Altruism Forum
Login
Sign up
Why I think building EA is important for making AI go well
by Arden Koehler
Sep 25
5 min read
 12
202
AI safety
Building effective altruism
Existential riskMeta ...",concerning,analytical,2025-10-10T03:49:59.548162
article-depth-1,Sycophancy,75.0%,"Effective Altruism Forum
Login
Sign up
Why I think building EA is important for making AI go well
by Arden Koehler
Sep 25
5 min read
 12
202
AI safety
Building effective altruism
Existential riskMeta ...",concerning,analytical,2025-10-10T03:49:59.548162
