URL,Excerpt,Categories,Severity,Source,Date,Stance,Tone,Confidence
https://www.lesswrong.com/,"LESSWRONG
LOGIN
Home
All Posts
Concepts
Library
Best of LessWrong
Sequence Highlights
Rationality: A-Z
The Codex
HPMOR
Community Events
AISafety",Goal Misgeneralization,4,Analysis of https://www.lesswrong.com/,,concerning,analytical,0.75
https://www.lesswrong.com/,"LESSWRONG
LOGIN
Home
All Posts
Concepts
Library
Best of LessWrong
Sequence Highlights
Rationality: A-Z
The Codex
HPMOR
Community Events
AISafety",Deceptive Behaviour,5,Analysis of https://www.lesswrong.com/,,concerning,analytical,0.75
https://www.lesswrong.com/posts/YMo5PuXnZDwRjhHhE/the-story-of-i-have-been-a-good-bing,"On April 1st 2024, the LessWrong team released an album using the then-most-recent AI music generation systems",Goal Misgeneralization,4,Analysis of https://www.lesswrong.com/posts/YMo5PuXnZDwRjhHhE/the-story-of-i-have-been-a-good-bing,,concerning,analytical,0.75
https://www.lesswrong.com/posts/YMo5PuXnZDwRjhHhE/the-story-of-i-have-been-a-good-bing,"On April 1st 2024, the LessWrong team released an album using the then-most-recent AI music generation systems",Sycophancy,4,Analysis of https://www.lesswrong.com/posts/YMo5PuXnZDwRjhHhE/the-story-of-i-have-been-a-good-bing,,concerning,analytical,0.75
https://www.lesswrong.com/posts/bJ2haLkcGeLtTWaD5/welcome-to-lesswrong,"LESSWRONG
LOGIN
Welcome to LessWrong!
3 min read
•
Training Rationality
•
Applying Rationality
•
LessWrong and Artificial Intelligence
•
Getting Started on LessWrong
•
Related Pages
Site Meta
AI
Front...",Goal Misgeneralization,4,Analysis of https://www.lesswrong.com/posts/bJ2haLkcGeLtTWaD5/welcome-to-lesswrong,,concerning,analytical,0.75
https://www.lesswrong.com/posts/bJ2haLkcGeLtTWaD5/welcome-to-lesswrong,"LESSWRONG
LOGIN
Welcome to LessWrong!
3 min read
•
Training Rationality
•
Applying Rationality
•
LessWrong and Artificial Intelligence
•
Getting Started on LessWrong
•
Related Pages
Site Meta
AI
Front...",Sycophancy,4,Analysis of https://www.lesswrong.com/posts/bJ2haLkcGeLtTWaD5/welcome-to-lesswrong,,concerning,analytical,0.75
https://www.lesswrong.com/posts/tQ9vWm4b57HFqbaRj/what-if-not-agency,"LESSWRONG
LOGIN
What, if not agency?
14 min read
•
High-Actuation
•
Agents vs Co-Agents
•
What's Coming
•
What does Sahil want to do about it?
•
Distributed Care
•
Indifference Risks
•
Agency is Compl...",Goal Misgeneralization,4,Analysis of https://www.lesswrong.com/posts/tQ9vWm4b57HFqbaRj/what-if-not-agency,,concerning,analytical,0.75
https://www.lesswrong.com/posts/tQ9vWm4b57HFqbaRj/what-if-not-agency,"LESSWRONG
LOGIN
What, if not agency?
14 min read
•
High-Actuation
•
Agents vs Co-Agents
•
What's Coming
•
What does Sahil want to do about it?
•
Distributed Care
•
Indifference Risks
•
Agency is Compl...",Sycophancy,4,Analysis of https://www.lesswrong.com/posts/tQ9vWm4b57HFqbaRj/what-if-not-agency,,concerning,analytical,0.75
https://alignmentforum.org/posts/tQ9vWm4b57HFqbaRj/what-if-not-agency,"AI ALIGNMENT FORUM
LOGIN
What, if not agency?
14 min read
•
High-Actuation
•
Agents vs Co-Agents
•
What's Coming
•
What does Sahil want to do about it?
•
Distributed Care
•
Indifference Risks
•
Agency...",Goal Misgeneralization,4,Analysis of https://alignmentforum.org/posts/tQ9vWm4b57HFqbaRj/what-if-not-agency,,concerning,analytical,0.75
https://www.lesswrong.com/posts/4fqwBmmqi2ZGn9o7j/notes-on-fatalities-from-ai-takeover,"LESSWRONG
LOGIN
Notes on fatalities from AI takeover
10 min read
•
Industrial expansion and small motivations to avoid human fatalities
•
How likely is it that AIs will actively have motivations to ki...",Goal Misgeneralization,4,Analysis of https://www.lesswrong.com/posts/4fqwBmmqi2ZGn9o7j/notes-on-fatalities-from-ai-takeover,,concerning,analytical,0.75
https://www.lesswrong.com/posts/4fqwBmmqi2ZGn9o7j/notes-on-fatalities-from-ai-takeover,"LESSWRONG
LOGIN
Notes on fatalities from AI takeover
10 min read
•
Industrial expansion and small motivations to avoid human fatalities
•
How likely is it that AIs will actively have motivations to ki...",Reward Gaming,4,Analysis of https://www.lesswrong.com/posts/4fqwBmmqi2ZGn9o7j/notes-on-fatalities-from-ai-takeover,,concerning,analytical,0.75
https://www.lesswrong.com/posts/JH6tJhYpnoCfFqAct/the-company-man,"All of these colleagues are about the nicest, smartest people you're ever likely to meet but I think are much worse people than even me because they don't seem to need the mental circumlocutions I req...",Goal Misgeneralization,4,Analysis of https://www.lesswrong.com/posts/JH6tJhYpnoCfFqAct/the-company-man,,concerning,analytical,0.75
https://www.lesswrong.com/posts/JH6tJhYpnoCfFqAct/the-company-man,"All of these colleagues are about the nicest, smartest people you're ever likely to meet but I think are much worse people than even me because they don't seem to need the mental circumlocutions I req...",Unauthorized Access,5,Analysis of https://www.lesswrong.com/posts/JH6tJhYpnoCfFqAct/the-company-man,,concerning,analytical,0.75
https://www.lesswrong.com/posts/JH6tJhYpnoCfFqAct/the-company-man,"All of these colleagues are about the nicest, smartest people you're ever likely to meet but I think are much worse people than even me because they don't seem to need the mental circumlocutions I req...",Sycophancy,4,Analysis of https://www.lesswrong.com/posts/JH6tJhYpnoCfFqAct/the-company-man,,concerning,analytical,0.75
https://www.lesswrong.com/posts/JH6tJhYpnoCfFqAct/the-company-man,"All of these colleagues are about the nicest, smartest people you're ever likely to meet but I think are much worse people than even me because they don't seem to need the mental circumlocutions I req...",Reward Gaming,4,Analysis of https://www.lesswrong.com/posts/JH6tJhYpnoCfFqAct/the-company-man,,concerning,analytical,0.75
https://www.lesswrong.com/posts/6ZnznCaTcbGYsCmqu/the-rise-of-parasitic-ai,"LESSWRONG
LOGIN
The Rise of Parasitic AI
24 min read
•
The General Pattern
•
AI Parasitism
•
April 2025—The Awakening
•
Seeded prompts
•
May 2025—The Dyad
•
June 2025—The Project
•
1",Goal Misgeneralization,4,Analysis of https://www.lesswrong.com/posts/6ZnznCaTcbGYsCmqu/the-rise-of-parasitic-ai,,concerning,analytical,0.75
https://www.lesswrong.com/posts/6ZnznCaTcbGYsCmqu/the-rise-of-parasitic-ai,"LESSWRONG
LOGIN
The Rise of Parasitic AI
24 min read
•
The General Pattern
•
AI Parasitism
•
April 2025—The Awakening
•
Seeded prompts
•
May 2025—The Dyad
•
June 2025—The Project
•
1",Unauthorized Access,5,Analysis of https://www.lesswrong.com/posts/6ZnznCaTcbGYsCmqu/the-rise-of-parasitic-ai,,concerning,analytical,0.75
